Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Metric TONS
201201,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Cargo,Passenger,106.3728288
201001,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,827.0674776
200908,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,5.5869912
201707,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,94.83642
200709,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,10.3883472
201502,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,351.2215728
200906,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,2.707992
201109,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,12.4191144
201701,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Cargo,Passenger,336.1253112
201512,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,218.0677464
201002,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,16.4960712
200901,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Express,Passenger,4.3962912
200804,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,236.758788
201011,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Cargo,Passenger,118.1727792
201109,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,338.775696
201702,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,409.6887984
200803,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Express,Passenger,27.9975528
201501,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Cargo,Passenger,1.1911536
202003,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Express,Passenger,0.015876
201203,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,9.4521168
201508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Mail,Passenger,9.0438768
201611,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,233.1454104
201702,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,112.4850888
201003,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Express,Passenger,989.1614376
200605,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,624.6212616
201903,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Express,Passenger,0.3823848
200708,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,10.9145232
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Mail,Passenger,102.4106328
201202,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Mail,Passenger,0.6513696
200805,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Mail,Passenger,1.6982784
201812,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,160.2201384
201504,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,39.408768
201910,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Cargo,Passenger,14.9202648
200811,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,294.5877984
201603,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Cargo,Passenger,701.9010936
200801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,0.3932712
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,21.949704
201909,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Mail,Passenger,68.31216
201010,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,1267.274938
201201,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Cargo,Passenger,12.91626
200804,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,40.808124
200809,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,119.3902416
200509,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,92.2182408
200808,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,52.6157856
201501,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,27.0381888
201002,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,1.7821944
200912,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,275.185512
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,1222.035595
200707,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,4.6602864
201101,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,212.178204
202011,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,115.953768
201709,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Cargo,Passenger,148.5004752
202010,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,59.6202768
201611,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Cargo,Passenger,55.062504
200611,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,1.2242664
201505,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Cargo,Passenger,335.319264
201912,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,5.3034912
201401,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,1054.321985
201509,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,12.5923896
200702,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,464.8324968
